filename,cross_track_error,heading_error
ZED_imageimage_1684953430.781661_32.png,60.0,90.0
ZED_imageimage_1684953069.0557451_2.png,[],[]
ZED_imageimage_1684953348.3993332_29.png,470.0,41.29945694482166
ZED_imageimage_1684953523.6043549_31.png,60.0,0.5354589855645315
ZED_imageimage_1684952633.9772775_43.png,10.0,1.6060029892822456
ZED_imageimage_1684952668.0952263_77.png,60.0,1.6060029892822456
ZED_imageimage_1684953426.7674298_28.png,70.0,3.7429882956871268
ZED_imageimage_1684953352.4148986_33.png,20.0,17.140349304757734
ZED_imageimage_1684953401.6468194_3.png,480.0,44.73100770630351
ZED_imageimage_1684953510.49219_18.png,60.0,90.0
ZED_imageimage_1684952922.612423_3.png,60.0,2.1409013663230922
ZED_imageimage_1684952593.6348636_3.png,-30.0,3.209486317791985
ZED_imageimage_1684952972.792526_53.png,-100.0,6.927218126009166
ZED_imageimage_1684953504.4386718_12.png,30.0,2.1409013663230922
ZED_imageimage_1684953088.158319_21.png,-70.0,7.980113745168524
ZED_imageimage_1684953321.172778_2.png,40.0,19.55199517324057
ZED_imageimage_1684952921.6123402_2.png,60.0,2.6754266560291455
ZED_imageimage_1684953068.0469682_1.png,960.0,90.0
ZED_imageimage_1684953495.3552563_3.png,-20.0,2.1409013663230922
ZED_imageimage_1684953404.6583166_6.png,470.0,42.776038759614515
ZED_imageimage_1684953344.386853_25.png,420.0,40.3800765183396
ZED_imageimage_1684953502.4312189_10.png,-40.0,5.339236803737592
ZED_imageimage_1684953070.0612886_3.png,-210.0,16.157339864587925
ZED_imageimage_1684953411.6825385_13.png,-60.0,24.160915123324287
ZED_imageimage_1684952930.6449049_11.png,60.0,2.1409013663230922
ZED_imageimage_1684952630.9668922_40.png,-30.0,4.275841112628939
ZED_imageimage_1684952964.7634788_45.png,-10.0,2.1409013663230922
ZED_imageimage_1684952602.7355723_12.png,-30.0,3.209486317791985
ZED_imageimage_1684953105.2503295_38.png,-110.0,9.027612950715096
ZED_imageimage_1684953515.542662_23.png,-60.0,4.807953963030457
ZED_imageimage_1684952948.706793_29.png,20.0,1.0708244547869725
ZED_imageimage_1684953429.7781746_31.png,70.0,90.0
ZED_imageimage_1684953363.4872363_44.png,960.0,90.0
ZED_imageimage_1684953361.4759884_42.png,960.0,90.0
ZED_imageimage_1684953534.642362_42.png,-10.0,1.6060029892822456
ZED_imageimage_1684952954.7273195_35.png,20.0,2.6754266560291455
ZED_imageimage_1684953402.649435_4.png,470.0,42.48618976382226
